Bloom_Index,Rolling_Chlorophyll_Anomaly,Rolling_SST_Anomaly,Surface_Chlorophyll,Sea_Surface_Temperature,Dissolved_Oxygen,pH,Total_Nitrogen,Total_Phosphorus,HAB_Present
0.8661083,2.1169243,-1.2353368,10.0,28.145262,0.0,9.5,3.9932609,0.54977655,1
-0.28602326,0.40255737,0.5835471,6.876402,23.574715,3.480887,8.838746,1.6514053,0.8133513,0
-0.23305881,1.8915339,-2.1931417,10.0,20.691051,2.9634285,9.363664,3.5952342,0.66635704,0
-0.33976907,1.4629302,-0.522037,9.254859,27.02842,1.9132955,7.786122,3.601758,0.62519723,0
0.68951106,3.1265826,-1.3521392,4.343017,21.867188,0.0,8.986235,2.6082408,0.2587322,1
-0.47756255,1.9537249,-0.5298176,10.0,20.208523,1.7086098,7.764989,3.6750996,0.5788616,0
-0.47058082,2.0143886,-0.50514674,10.0,20.18127,1.6537507,7.763986,3.719157,0.58272874,0
-0.24024838,1.8481331,-2.1475499,10.0,20.814022,2.9674435,9.354854,3.6198678,0.6625014,0
0.543072,1.5511177,-1.2316878,8.117308,31.368172,0.0077289343,9.271193,3.1524034,0.32874566,1
-0.3589993,1.8429012,-1.7045474,10.0,27.901049,0.0,9.053743,3.0600119,0.6378809,0
0.54033875,1.5720832,-1.2127515,8.114658,31.272984,0.06110561,9.269191,3.092286,0.33377647,1
-0.26173258,0.52112675,-2.6783872,10.0,23.058384,4.941601,9.294631,7.8003883,0.4015153,0
-0.34031367,1.4394765,-0.5154176,9.242209,27.022327,1.9305401,7.789566,3.6028223,0.6243289,0
-0.28604454,0.40246892,0.5835123,6.8763695,23.574612,3.480901,8.838673,1.651361,0.81335557,0
-0.34356844,1.4126008,-0.516202,9.219862,27.0767,1.9288476,7.7865586,3.6049116,0.6230935,0
-0.51107615,-0.727082,1.2962799,9.955506,29.625711,0.0,9.5,0.26529193,0.69880825,0
-0.34036708,1.4345508,-0.50046563,9.23259,26.963053,1.9458451,7.785259,3.614032,0.6245298,0
-0.48408222,2.025713,-0.5530753,10.0,20.139093,1.596119,7.745474,3.7380471,0.58266735,0
0.10649049,3.5178356,-0.43660998,10.0,28.599684,0.0,7.8061395,1.932025,0.6540442,0
-0.09074563,1.2109993,-2.7275238,9.649919,26.275806,2.9406998,8.854003,6.725397,0.44598502,0
0.088769436,3.2565665,-0.52823067,10.0,28.635897,0.0,7.8729315,2.1672268,0.635344,0
0.5332627,4.3453946,-1.9339616,9.659292,23.80499,0.0,9.22027,5.4328685,0.15126354,1
-0.6634485,2.6112714,0.16423893,9.868627,26.514505,0.0,9.5,8.668043,0.39387062,0
-0.2860837,0.3993752,0.5876007,6.8749857,23.57725,3.479944,8.837665,1.6553984,0.8128362,0
-0.2521032,0.5251162,-2.6650321,10.0,23.122055,4.9131927,9.279124,7.7610817,0.4031466,0
0.8795358,1.9578681,-1.3486547,10.0,28.017788,0.0,9.5,4.076967,0.5637771,1
-0.3417024,1.441459,-0.5213437,9.2459135,27.077244,1.9210956,7.788294,3.6080117,0.6238586,0
0.100218296,3.4887133,-0.44874692,10.0,28.568113,0.0,7.815109,1.97629,0.6507889,0
-0.18871725,2.1246629,0.1741929,6.5872517,24.147434,3.6189742,8.349997,3.5586023,0.72710466,0
0.38072312,0.3822217,0.62857485,6.3619137,31.233646,1.9003367,9.156241,1.615839,0.38136345,0
-0.26149774,-0.12285209,-0.13239574,10.0,22.80928,6.8403153,9.058993,2.948265,0.66410637,0
0.69120574,3.100515,-1.369513,4.314438,21.815393,0.0,8.989275,2.6001496,0.25749087,1
-0.042609096,3.581007,-0.80969477,10.0,28.531078,0.0,8.143197,1.4597213,0.6473999,0
-0.40001798,0.29320168,0.3466277,10.0,24.607119,3.8812194,8.842391,4.621294,0.83221126,0
-0.22878772,3.555377,-1.39045,10.0,28.999697,0.0,8.595541,0.91400206,0.63652384,0
0.33539164,0.4869132,0.6501193,6.7470856,30.822481,1.5370623,9.160757,1.6124759,0.4265712,0
0.24508119,4.58706,-0.046467066,10.0,28.009779,0.0,8.883652,1.4327681,0.6501212,1
-0.23069572,1.8869631,-2.1927736,10.0,20.712378,2.9728625,9.359136,3.5796297,0.66639715,0
-0.18908823,2.1329494,0.15593243,6.6009364,24.152037,3.6084294,8.336387,3.5650647,0.7290857,0
-0.3986137,0.26615596,0.37191296,10.0,24.653685,3.8989985,8.842108,4.6486087,0.82824767,0
-0.1805461,2.142089,0.14036226,6.5534725,24.148811,3.5995584,8.335609,3.5752356,0.7220345,0
-0.09893823,1.1450279,-2.7716548,9.8400545,26.378603,3.0174377,8.907453,6.969669,0.44801313,0
-0.3638971,1.5871994,-0.46963525,9.282586,26.447727,1.9353876,7.8028736,3.5789034,0.6178067,0
-0.25561166,0.5559275,-2.6348248,10.0,23.106966,4.8573747,9.266566,7.6330237,0.40759528,0
0.106852055,3.5119,-0.44084215,10.0,28.587524,0.0,7.8090024,1.9311485,0.6530372,0
0.8553257,1.957793,-1.3731784,10.0,27.993391,0.0,9.5,4.1230206,0.56597257,1
-0.18771231,2.1326017,0.1560924,6.5840955,24.157497,3.602245,8.3354025,3.5704339,0.7263793,0
0.015353203,2.59838,-1.6004423,10.0,21.819899,3.1405003,8.866436,9.4936495,0.5368978,0
-0.33913225,1.4606574,-0.5267525,9.2547245,27.055845,1.9085889,7.7857795,3.5970445,0.62465096,0
-0.23203474,1.8778768,-2.184254,10.0,20.70884,2.9861135,9.3665285,3.606576,0.66623765,0
-0.22408956,1.8789127,-2.1216977,10.0,20.928638,3.0034683,9.346348,3.7518322,0.6534414,0
-0.2876513,0.3791015,0.6003146,6.848796,23.590115,3.460838,8.836729,1.6501966,0.8137573,0
-0.2302112,1.8761525,-2.1668537,10.0,20.744442,2.9770327,9.35192,3.6341038,0.6616974,0
-0.34549075,-0.22462106,0.089954376,10.0,23.32413,6.48112,8.974128,3.1282747,0.7183972,0
0.31486714,0.5009911,0.74116135,6.6102324,30.948627,1.4419314,9.193746,1.4068816,0.42781344,0
-0.22747684,1.8961489,-2.1688943,10.0,20.719591,2.984551,9.364107,3.586244,0.66496086,0
-0.23283803,1.8938391,-2.2039645,10.0,20.667915,2.9689198,9.373125,3.5924244,0.6687675,0
-0.3413247,1.4451504,-0.51793575,9.249434,27.041534,1.9179807,7.7883663,3.6033158,0.62431705,0
-0.47280848,2.0322852,-0.5314503,10.0,20.11851,1.6387057,7.7671375,3.69458,0.5821212,0
-0.18962109,2.148168,0.15050769,6.6303654,24.12392,3.6080909,8.337666,3.5581377,0.7326412,0
-0.24369198,2.6799212,-1.5392057,10.0,28.323038,0.0,8.827502,1.942481,0.63626355,0
-0.19382852,2.0239472,0.21779156,6.649763,24.10888,3.6232364,8.397787,3.4587038,0.7286552,0
0.08493829,1.0683396,0.8075719,8.035244,27.288918,3.072602,7.921639,2.5595536,0.52314496,0
-0.25826764,0.4936962,-2.6998177,10.0,23.074339,4.9701595,9.301875,7.867706,0.3977751,0
-0.2165603,1.5385513,-2.2781575,10.0,21.298622,3.544394,9.284459,4.4426827,0.5976781,0
-0.6574185,-0.80234957,0.64000034,7.5070243,31.08825,0.0,9.439123,5.122499,0.29928225,0
-0.045363903,2.1074257,-2.4615095,10.0,21.789913,4.863556,9.235278,9.074407,0.38430256,0
0.7120693,0.679996,-0.34934378,7.55469,23.802732,3.1967206,9.5,2.099652,0.32519555,0
0.1044085,3.4891133,-0.43697405,10.0,28.625767,0.0,7.806405,1.9397495,0.652126,0
-0.0022902489,1.2709002,0.06314802,9.048562,31.376495,0.9892745,7.811901,2.357886,0.63475144,0
0.10748696,3.5179186,-0.4380467,10.0,28.591335,0.0,7.807983,1.928553,0.6536002,0
-0.28447127,0.39620137,0.5889838,6.8537407,23.555784,3.472269,8.840497,1.6463268,0.8137932,0
-0.18875408,2.13523,0.16614604,6.575549,24.14662,3.60772,8.342229,3.5593247,0.7270223,0
-0.21884674,1.8059912,-2.2034867,10.0,21.055952,3.2056026,9.318862,3.6807287,0.6400473,0
-0.4767506,2.022058,-0.5311656,10.0,20.16951,1.6215137,7.765899,3.7033987,0.5853652,0
0.024053693,2.5097475,-2.834264,9.368417,30.332233,0.0,8.206274,5.029546,0.5664873,0
